x,y
11.08006986,198.0529052
1.211695489,187.5824692
10.35595097,148.4480623
10.78667748,165.0538517
22.18617939,119.0288646
6.703807518,156.687204
19.53288949,137.3933586
18.46578859,144.0454334
33.43464783,127.1444468
49.6054983,48.30425396
5.881947698,187.3494328
0.423558208,177.3210179
44.16834073,53.19724719
15.0527354,155.7504803
24.63717529,102.4090446
25.03149693,95.71461186
20.10172367,125.5991524
48.85414107,57.81186358
17.91630054,149.3228717
24.58302722,145.700339
44.96497785,46.01948328
1.041561726,159.9020052
15.97857918,129.1959105
5.646470201,172.5990055
26.41613242,113.9043586
45.64563192,32.79158025
19.75523991,160.9354203
19.09295365,151.6404765
48.37499654,9.69089161
42.43306924,49.50744122
10.03042561,169.0719853
48.64324037,6.71113706
23.45667762,121.5759435
45.03359877,66.78692869
0.221307797,178.985563
43.91253693,49.13570411
40.6349215,72.70384642
47.09848735,18.70313096
11.98152818,127.4045362
37.75027351,83.78040077
48.02702469,22.9739522
36.06738237,58.73173557
28.61537874,81.07879948
8.943440765,185.3069274
19.73887073,123.0826558
10.0450392,161.7502169
41.14432725,41.33900317
33.92328388,96.79645935
12.20253253,129.1936443
46.64508724,44.05791787
49.81703582,41.98428228
26.8152209,100.0768902
29.40235924,110.2978044
44.84872785,18.705362
11.99425178,172.2406735
45.56193126,23.45415761
33.08693895,85.12588579
37.42778969,34.72906683
32.20718097,69.38645987
7.174748182,183.769498
9.021016967,173.5448938
16.00232681,148.7444824
18.78270732,146.3696965
3.411082772,189.1028846
42.64622817,67.62375533
12.82861398,118.6586881
28.33761692,76.88310302
16.41752528,133.5698056
25.62703816,122.0870311
39.72799073,63.49304839
7.808423997,198.8819861
9.537298395,163.6625113
32.45239981,86.1927973
41.74682263,77.24382864
10.30972856,160.0646547
6.066755857,167.0123009
32.06080146,110.6087145
49.92974447,46.89430222
26.85978672,112.4076653
18.57655115,161.8407295
10.47069823,177.6051633
21.79776581,84.35564267
1.086189062,219.033174
28.74942003,101.0355475
11.5018641,124.7239017
21.40855488,93.93618182
32.4549032,66.01665729
5.40139029,189.368994
47.91309787,28.64771407
44.64237911,55.60423386
20.97677444,150.4975906
10.84506407,180.904654
7.976427965,123.4740901
48.00672296,17.81477788
4.784255975,154.6252966
36.3773893,86.81560898
7.959025598,179.2312872
27.57183652,92.45363821
14.30135561,161.9656542
10.46634628,134.3420786
